calibration mutant,,(values writen down by hand),,,,,,,,,Calibration WT,,
100,1.091,1.091,1.09,1.090666667,0.37,0.37,0.37,0.37,-0.431798276,100,0.641,0.936752333,-0.028375216
60,0.707,0.707,0.706,0.706666667,0.632,0.63,0.632,0.631333333,-0.19974128,50,0.339,1.410807417,0.149467734
36,0.443,0.441,0.44,0.441333333,0.915,0.925,0.973,0.937666667,-0.027951523,25,0.179,1.827262,0.261800823
21.6,0.27,0.27,0.27,0.27,,1.186,1.18,1.183,0.072984745,12.5,0.098,2.11661308,0.325641476
12.96,0.163,0.163,0.162,0.162666667,1.367,1.372,1.372,1.370333333,0.136826222,6.25,0.059,2.259379105,0.353989108
7.776,0.097,0.097,0.097,0.097,1.507,1.507,1.507,1.507,0.178113252,,,,
4.6656,0.062,0.062,0.062,0.062,1.586,1.588,1.589,1.587666667,0.200759327,,,,
