Lactococcus data,,,,,
WT,,,Mutant,,
timestamp [s],elapsed time [h],Photometer output [V],timestamp [s],elapsed time [h],Photometer output [V]
3709935819,0.816667778,2.22275,3710358189,0.816666389,1.628602
3709935849,0.825001111,2.226322,3710358219,0.824998611,1.630983
3709935879,0.833333611,2.225131,3710358249,0.833333055,1.629793
3709935909,0.841665833,2.223941,3710358279,0.841666111,1.630983
3709935939,0.849998611,2.225131,3710358309,0.849999444,1.628602
3709935969,0.858331667,2.225727,3710358339,0.8583325,1.630983
3709935999,0.866667778,2.224536,3710358369,0.866665833,1.631579
3709936029,0.874998611,2.225727,3710358399,0.874999444,1.629793
3709936059,0.883333889,2.225131,3710358429,0.883332778,1.628602
3709936089,0.891667778,2.225727,3710358459,0.891666389,1.631579
3709936119,0.900001111,2.229299,3710358489,0.899998056,1.632769
3709936149,0.908333611,2.225727,3710358519,0.908333055,1.633365
3709936179,0.9166675,2.229299,3710358549,0.916666389,1.632769
3709936209,0.925000556,2.226322,3710358579,0.924999167,1.635151
3709936239,0.933334444,2.225131,3710358609,0.933332778,1.630983
3709936269,0.9416675,2.225131,3710358639,0.941666111,1.630983
3709936299,0.950000278,2.228703,3710358669,0.95,1.632174
3709936329,0.958334167,2.229299,3710358699,0.9583325,1.629793
3709936359,0.966666389,2.229894,3710358729,0.966666111,1.633365
3709936389,0.974999722,2.227513,3710358759,0.974999167,1.630388
3709936419,0.983334167,2.226322,3710358789,0.983332778,1.62503
3709936449,0.991667778,2.228703,3710358819,0.991666389,1.62503
3709936479,1.000000278,2.226917,3710358849,0.999999444,1.627411
3709936509,1.008334167,2.227513,3710358879,1.008333055,1.62503
3709936539,1.016666944,2.227513,3710358909,1.016666389,1.625625
3709936569,1.025000556,2.229299,3710358939,1.024999167,1.627411
3709936599,1.033331667,2.229299,3710358969,1.033332778,1.626816
3709936629,1.041667222,2.226322,3710358999,1.041664444,1.625625
3709936659,1.050001111,2.228108,3710359029,1.05,1.627411
3709936689,1.058334722,2.227513,3710359059,1.058333055,1.626816
3709936719,1.066667778,2.226917,3710359089,1.066666111,1.627411
3709936749,1.075000556,2.227513,3710359119,1.074999722,1.626221
3709936779,1.083334167,2.228703,3710359149,1.083332778,1.626816
3709936809,1.091667778,2.229299,3710359179,1.091665556,1.626221
3709936839,1.100000833,2.224536,3710359209,1.099999722,1.627411
3709936869,1.108333611,2.224536,3710359239,1.108332778,1.628007
3709936899,1.116666667,2.223941,3710359269,1.116664722,1.630388
3709936929,1.125001389,2.223941,3710359299,1.124998611,1.628007
3709936959,1.133334444,2.224536,3710359329,1.133333055,1.628007
3709936989,1.141667778,2.223941,3710359359,1.141665833,1.630388
